"File","Lines","Extension"
"kernel\lib\libc\stdio.h","12",".h"
"kernel\lib\libc\stdlib.c","326",".c"
"kernel\lib\libc\stdlib.h","14",".h"
"kernel\lib\libc\string.c","209",".c"
"kernel\lib\libc\string.h","19",".h"
"kernel\lib\libc\time.c","345",".c"
"kernel\lib\libc\time.h","38",".h"
"kernel\lib\libc\unistd.c","669",".c"
"kernel\lib\libc\unistd.h","50",".h"
"kernel\lib\libc\vsprintf.c","67",".c"
"kernel\systemd\automount.c","124",".c"
"kernel\systemd\device.c","131",".c"
"kernel\systemd\fstab.c","135",".c"
"kernel\systemd\include\systemd.h","731",".h"
"kernel\systemd\journal.c","456",".c"
"kernel\systemd\journalctl.c","161",".c"
"kernel\systemd\mount.c","176",".c"
"kernel\systemd\path.c","121",".c"
"kernel\systemd\service.c","1188",".c"
"kernel\systemd\slice.c","151",".c"
"kernel\systemd\socket.c","296",".c"
"kernel\systemd\swap.c","111",".c"
"kernel\systemd\systemctl.c","395",".c"
"kernel\systemd\systemd.c","1408",".c"
"kernel\systemd\target.c","171",".c"
"kernel\systemd\timer.c","764",".c"
"kernel\systemd\udev.c","550",".c"
"kernel\systemd\util.c","140",".c"
"tools\check_img.py","141",".py"
"tools\gen_ninja.py","394",".py"
"tools\make_esp.py","580",".py"
"tools\ninja_cmd.py","461",".py"
"compat_layer\dll\appcompat\apphelp\apphelp.c","475",".c"
"compat_layer\dll\appcompat\apphelp\apphelp.h","155",".h"
"compat_layer\dll\appcompat\apphelp\dbgheap.c","166",".c"
"compat_layer\dll\appcompat\apphelp\hsdb.c","848",".c"
"compat_layer\dll\appcompat\apphelp\layer.c","545",".c"
"compat_layer\dll\appcompat\apphelp\sdbapi.c","947",".c"
"compat_layer\dll\appcompat\apphelp\sdbfileattr.c","388",".c"
"compat_layer\dll\appcompat\apphelp\sdbpapi.h","84",".h"
"compat_layer\dll\appcompat\apphelp\sdbread.c","422",".c"
